Dates,Bulk Carrier,Product Tanker,Crude oil tanker,Containership,LNG,LPG
06/11/2023,163,85,81,130,13,16
13/11/2023,155,62,71,156,21,19
20/11/2023,188,75,88,133,17,21
27/11/2023,157,78,72,118,18,40
04/12/2023,175,85,81,115,19,21
11/12/2023,172,79,76,107,20,24
18/12/2023,159,65,61,41,15,16
25/12/2023,158,74,66,49,13,10
01/01/2024,142,50,61,45,10,10
08/01/2024,147,34,59,34,6,6
15/01/2024,129,37,59,43,1,2
22/01/2024,107,35,58,31,0,1
29/01/2024,100,42,39,36,0,2
05/02/2024,109,28,49,35,0,2
12/02/2024,113,29,48,43,0,4
19/02/2024,98,33,80,30,0,3
26/02/2024,93,44,53,34,0,2
04/03/2024,83,35,45,40,0,2
